iter	PRAUC	Logloss
520	0.9790186521	0.2230912803
521	0.9791038903	0.2226949065
522	0.9791755375	0.2224706448
523	0.9792292728	0.2222536262
524	0.9792568317	0.2221037698
525	0.9792998178	0.2219316647
526	0.9793746564	0.2215952119
527	0.9794235692	0.2214071859
528	0.9795089202	0.2210751603
529	0.9795428097	0.2209227151
530	0.9796163846	0.2205871176
531	0.9796575176	0.2204393491
532	0.9797206943	0.2200672642
533	0.9797606998	0.219920056
534	0.9798566644	0.2195176669
535	0.9799143741	0.2192980266
536	0.9799752396	0.2190368607
537	0.9800489773	0.2186610514
538	0.9801083709	0.218373456
539	0.9801354106	0.2182456707
540	0.9802077925	0.2179676916
541	0.9802586286	0.2177624526
542	0.9803053038	0.2175962197
543	0.980347894	0.2174060134
544	0.9803884951	0.2172419967
545	0.9804525805	0.2169424969
546	0.9804915616	0.2167676043
547	0.9805349507	0.2165977826
548	0.9805917426	0.2163591776
549	0.9806396209	0.216166461
550	0.980671145	0.2160260744
551	0.9807124968	0.2158534365
552	0.9807401978	0.2157419962
553	0.9807631791	0.2155986369
554	0.9808125197	0.215422337
555	0.9808478518	0.2152943953
556	0.9808999065	0.2150501806
557	0.9809208102	0.2149636874
558	0.9809566196	0.2148117594
559	0.9809886792	0.2146972378
560	0.9810219755	0.214561474
561	0.9810987964	0.2142100616
562	0.9811578225	0.2139240284
563	0.981228362	0.213570901
564	0.9812923526	0.2132840613
565	0.9813377361	0.2130521828
566	0.9813939984	0.2127841655
567	0.9814478182	0.2125444876
568	0.9814952774	0.2123249916
569	0.9815571216	0.2120965088
570	0.9815999764	0.2118992966
571	0.981644411	0.2116937862
572	0.9817022416	0.2114335106
573	0.9817521767	0.2112029241
574	0.9818094083	0.2110102697
575	0.9818639426	0.2107710536
576	0.9819198481	0.2104930897
577	0.9819566952	0.2103261065
578	0.9820194522	0.2100739025
579	0.9820582025	0.2099242252
580	0.9821182026	0.2095705469
581	0.9821730254	0.2093412628
582	0.9822150385	0.2091770853
583	0.9822573974	0.2089648013
584	0.9822887499	0.2088582291
585	0.9823196479	0.2086987925
586	0.9823600459	0.2085277143
587	0.9824265222	0.2081805956
588	0.9824597641	0.2080445675
589	0.9824993496	0.2078970994
590	0.9825451304	0.2077315646
591	0.9825933147	0.2075460856
592	0.9826607283	0.2072139322
593	0.9827014764	0.2070413924
594	0.9827508075	0.2068301291
595	0.9827916783	0.2066809201
596	0.9828310929	0.2065088431
597	0.9829217654	0.2060906682
598	0.9829497663	0.205962865
599	0.9829927573	0.2057964755
600	0.9830400944	0.2055502615
601	0.9830935165	0.205262855
602	0.9831460076	0.2050252886
603	0.9832029862	0.2047783296
604	0.9832820474	0.204394476
605	0.9833259109	0.2041630762
606	0.9833682178	0.203983638
607	0.9833980545	0.2038794999
608	0.9834422381	0.203685057
609	0.9834974211	0.2033574997
610	0.9835355753	0.2031822855
611	0.9835709459	0.2030071462
612	0.9835894348	0.2028765099
613	0.9836218758	0.2027510809
614	0.9836712897	0.2025598243
615	0.9837075468	0.2024147088
616	0.983738176	0.2022833988
617	0.9837830148	0.2020727016
618	0.983808178	0.2019747382
619	0.9838470922	0.201768861
620	0.9838887388	0.2015336646
621	0.9839277064	0.2013381185
622	0.9839553012	0.2012186102
623	0.9839803363	0.2011133281
624	0.9840191523	0.2009456861
625	0.9840708436	0.2007695749
626	0.9841050469	0.2005855425
627	0.984136473	0.2004308678
628	0.9841692916	0.2001711418
629	0.9842220686	0.1999274822
630	0.98425638	0.1998118864
631	0.9843019609	0.1996089116
632	0.9843315243	0.1994461426
633	0.9843671931	0.1992909775
634	0.984390456	0.199193641
635	0.9844204751	0.1990626132
636	0.9844588034	0.1989267132
637	0.9844973497	0.1987447293
638	0.9845309217	0.1985851695
639	0.9845469083	0.1984897528
640	0.9845808983	0.1983228294
641	0.9846023134	0.1982016952
642	0.98463867	0.1980588824
643	0.9846802508	0.1978710612
644	0.9847219422	0.1975729954
645	0.984742196	0.197507955
646	0.9847738441	0.1973518544
647	0.9848174457	0.1971184228
648	0.9848672473	0.1968908434
649	0.984891422	0.1967731892
650	0.9849370358	0.1965791294
651	0.9849735717	0.1963942116
652	0.985012184	0.1962220346
653	0.9850343503	0.1961053963
654	0.9850790792	0.1959242011
655	0.9851081006	0.1957779493
656	0.9851340086	0.1956121225
657	0.9851695871	0.1954020065
658	0.9851919845	0.1952819168
659	0.9852401696	0.1949682533
660	0.98526602	0.1948567706
661	0.9852880506	0.1947405153
662	0.9853084226	0.1946596286
663	0.9853349893	0.1945306032
664	0.9853678572	0.1943308496
665	0.9854174048	0.1940453694
666	0.9854537955	0.1938484263
667	0.9854947182	0.1936412831
668	0.9855155684	0.1935280326
669	0.9855667946	0.1933392644
670	0.9856037035	0.193147562
671	0.9856361749	0.1929742124
672	0.9856669773	0.192809114
673	0.9857130834	0.1925543194
674	0.9857419257	0.1924094447
675	0.9857832964	0.1922496677
676	0.9857982273	0.1921717919
677	0.9858393489	0.191987005
678	0.9858600964	0.1918775091
679	0.9858730445	0.1918054532
680	0.9859063279	0.1916598346
681	0.9859529999	0.1914389651
682	0.9859875158	0.1912334361
683	0.9860250359	0.1910614872
684	0.9860635287	0.1908655122
685	0.9860989792	0.1906592426
686	0.986140275	0.1904306038
687	0.9861744377	0.1902510906
688	0.9862186644	0.1900437315
689	0.986251468	0.1899035318
690	0.9862772533	0.1898000013
691	0.9863139597	0.1896155427
692	0.9863290992	0.1895495032
693	0.9863673385	0.1893753799
694	0.9863914655	0.1892646443
695	0.9864134067	0.1891509199
696	0.9864377336	0.1890086225
697	0.9864570894	0.1889135656
698	0.9864703395	0.1888551384
699	0.9864951288	0.1887490605
700	0.9865190682	0.1886579652
701	0.9865495753	0.1885121225
702	0.9865769228	0.1883658272
703	0.986599758	0.1882478939
704	0.9866365078	0.1880448103
705	0.9866640553	0.1878966852
706	0.9866852962	0.1877931308
707	0.9867073694	0.1876748104
708	0.9867253705	0.187584657
709	0.9867463103	0.1874456394
710	0.9867636365	0.1873151063
711	0.9867999575	0.1871091873
712	0.9868340465	0.1869476521
713	0.9868624898	0.1867843317
714	0.9869024935	0.1865755416
715	0.9869270087	0.186407476
716	0.9869432235	0.1863255308
717	0.9869650159	0.1862133929
718	0.9870120826	0.18592993
719	0.9870569864	0.1856292581
720	0.9870879429	0.185442131
721	0.987109533	0.1853320019
722	0.9871375785	0.1852345182
723	0.9871723271	0.1850294803
724	0.9872155657	0.1848463769
725	0.9872583947	0.1846609697
726	0.9872804931	0.1845442058
727	0.9873120774	0.1843985732
728	0.9873340327	0.1842636489
729	0.9873559497	0.1841606415
730	0.987395246	0.1839408049
731	0.9874238783	0.1837250125
732	0.9874637101	0.1834211196
733	0.9874885378	0.1832922647
734	0.9875286345	0.1830928604
735	0.9875428188	0.1830193355
736	0.987580672	0.182759736
737	0.9876157969	0.1825576905
738	0.9876301588	0.1824327283
739	0.987652005	0.1823318228
740	0.9876787127	0.1821672836
741	0.9877012959	0.1820276327
742	0.9877268003	0.1818961821
743	0.9877432387	0.181810225
744	0.9877714594	0.1816348907
745	0.987800271	0.1814738095
746	0.9878455389	0.1812808094
747	0.9878660774	0.1811709054
748	0.9878972374	0.1809822278
749	0.9879187645	0.1808730386
750	0.9879381464	0.1807512209
751	0.9879658761	0.180571225
752	0.9879863521	0.1804268758
753	0.9880106634	0.1802777939
754	0.9880264692	0.1801734594
755	0.9880486654	0.1800508313
756	0.9880707004	0.1799173047
757	0.9881059198	0.1797085012
758	0.988131713	0.1795764685
759	0.9881624136	0.1794055401
760	0.9882011318	0.1791918148
761	0.9882182482	0.1790722077
762	0.9882425329	0.1789685161
763	0.9882670624	0.1788466677
764	0.9882920644	0.1787337452
765	0.9883084264	0.1786338158
766	0.9883281985	0.1785123114
767	0.9883470462	0.1783930135
768	0.9883901814	0.1781003166
769	0.9884094248	0.1779929404
770	0.9884336399	0.1778285869
771	0.9884580735	0.177713196
772	0.9884882055	0.1775299191
773	0.9885155707	0.1773830084
774	0.9885464577	0.1772436211
775	0.9885637724	0.1771361646
776	0.9885802575	0.177053628
777	0.9886041489	0.1769161256
778	0.9886382087	0.1767086251
779	0.9886567628	0.1765980453
780	0.9886704413	0.1765235584
781	0.9887000126	0.1763572733
782	0.9887129992	0.1762799844
783	0.9887381586	0.1761263202
784	0.988766576	0.1759758509
785	0.9887887986	0.1758591056
786	0.9888245877	0.175623799
787	0.9888537317	0.175451437
788	0.9888753291	0.1753749701
789	0.9888936244	0.1752715922
790	0.988923864	0.1751116289
791	0.9889493721	0.174944128
792	0.9889875396	0.1747256135
793	0.989009168	0.1746145009
794	0.9890393789	0.1744418002
795	0.9890588652	0.1743178684
796	0.9890964559	0.1741335127
797	0.9891184542	0.1740208748
798	0.9891344808	0.1739140986
799	0.9891713915	0.1736649189
800	0.989202622	0.1735023718
801	0.9892214304	0.173384329
802	0.9892419357	0.1732705435
803	0.9892648035	0.1731374424
804	0.9892874491	0.1730486146
805	0.9893176375	0.1728373775
806	0.9893473412	0.1726446005
807	0.9893704437	0.1725282811
808	0.9894000054	0.1723473014
809	0.9894116015	0.1722592166
810	0.9894373933	0.1721195451
811	0.9894619705	0.1719563501
812	0.9894815823	0.1718130498
813	0.9895049606	0.1716393152
814	0.9895286154	0.1714903486
815	0.9895458321	0.1713834639
816	0.9895638126	0.171281172
817	0.9895758392	0.1711713769
818	0.9895973874	0.1710421604
819	0.9896282569	0.1708973638
820	0.9896476335	0.1707945816
821	0.9896675119	0.1706766339
822	0.9896948823	0.1705258873
823	0.9897060051	0.1704610887
824	0.9897258802	0.1703399324
825	0.989740794	0.170247462
826	0.9897565273	0.1701817362
827	0.989773559	0.1700686387
828	0.9897931571	0.1699585187
829	0.9898107703	0.1698250603
830	0.9898244814	0.1697452246
831	0.9898419976	0.1696635608
832	0.9898692501	0.1695115716
833	0.9898888669	0.1693934107
834	0.9899115205	0.1692686509
835	0.9899358742	0.1691129202
836	0.9899680571	0.168954764
837	0.989992631	0.1688319047
838	0.9900053534	0.1687646209
839	0.9900284799	0.1685937317
840	0.9900503286	0.1684314183
841	0.9900747979	0.1682925674
842	0.9900952045	0.1681720085
843	0.9901179464	0.1680357576
844	0.9901398065	0.1678872062
845	0.9901630999	0.1677273847
846	0.9901939794	0.1675862149
847	0.9902137888	0.1675073021
848	0.9902381792	0.1673687541
849	0.9902590268	0.1672659463
850	0.9902873046	0.1670882025
851	0.9903129085	0.1668801886
852	0.9903383189	0.1667406743
853	0.990361726	0.1665768048
854	0.9903890438	0.1664121098
855	0.9904139081	0.1662916837
856	0.9904323876	0.1662017166
857	0.990440431	0.1661182892
858	0.9904763078	0.1659503126
859	0.9904930968	0.1658005878
860	0.9905224405	0.1656508089
861	0.9905397946	0.1655768273
862	0.9905700984	0.1653243868
863	0.9905819483	0.1652301345
864	0.9906010095	0.165108466
